baseline_weekly_spend,holiday_weekly_spend,total_annual_spend,total_annual_traffic,total_annual_sales,total_annual_transactions,blended_roas,blended_conversion_rate,blended_aov,blended_rps,baseline_sales_contribution,holiday_sales_contribution,marginal_roas,marginal_roas_from_137m
25000.0,45000.0,1400000.0,-26526378.19096403,-1193332105.6821501,-2254523.560452589,-852.3800754872501,0.0,0.0,0.0,0.0,0.0,,
50000.0,90000.0,2800000.0,-19389317.91826572,-750143650.2006979,-1365517.6535204072,-267.9084465002492,0.0,0.0,0.0,0.0,0.0,376.96627255034133,
75000.0,135000.0,4200000.0,-15209736.301334083,-542452634.3362722,-967374.6668436154,-129.15538912768386,0.0,0.0,0.0,0.0,0.0,176.54131826808646,
100000.0,180000.0,5600000.0,-12241008.078902846,-414884187.117183,-729744.9208462975,-74.08646198521126,0.0,0.0,0.0,0.0,0.0,108.35030037046299,
125000.0,225000.0,7000000.0,-9935759.847116897,-326130190.2642656,-567921.9150945095,-46.59002718060937,0.0,0.0,0.0,0.0,0.0,75.31513145957712,
150000.0,270000.0,8400000.0,-8050176.895306665,-259714824.5878053,-448901.6986270609,-30.91843149854825,0.0,0.0,0.0,0.0,0.0,56.301939969939475,
175000.0,315000.0,9800000.0,-6454201.031742075,-207568634.50436667,-356803.6252500818,-21.180472908608845,0.0,0.0,0.0,0.0,0.0,44.156373896205984,
200000.0,360000.0,11200000.0,-5070199.106210906,-165202008.403829,-282918.42295481695,-14.750179321770448,0.0,0.0,0.0,0.0,0.0,35.831757516406626,
225000.0,405000.0,12600000.0,-3848096.1450459175,-129888049.6236305,-222020.29978058013,-10.308575366954802,0.0,0.0,0.0,0.0,0.0,29.827907896448803,
250000.0,450000.0,14000000.0,-2753701.3077603895,-99860420.34303515,-170759.9249413928,-7.1328871673596534,0.0,0.0,0.0,0.0,0.0,25.327328149672226,
275000.0,495000.0,15400000.0,-1762627.6594411915,-73917111.02360526,-126879.3447937442,-4.799812404130211,0.0,0.0,0.0,0.0,0.0,21.849738886886836,
300000.0,540000.0,16800000.0,-856868.7892856123,-51207528.50928339,-88794.1723818247,-3.0480671731716305,0.0,0.0,0.0,0.0,0.0,19.096062335854125,
325000.0,585000.0,18200000.0,-22750.430427100975,-31110324.34119238,-55355.8915351424,-1.7093584802852957,0.0,0.0,0.0,0.0,0.0,16.871196626633427,
350000.0,630000.0,19600000.0,750356.6409435002,-13159491.891369095,-25709.18190390243,-0.6714026475188314,-0.034262616602653964,0.0,-17.537649663261885,0.0,0.0,15.0429359456809,
375000.0,675000.0,21000000.0,1470878.575829449,3002321.467213886,797.5805337408674,0.14296768891494693,0.0005422477061310792,3764.286288598582,2.0411756052132546,-4.290320321227167,5.290320321227167,13.518808802838473,
400000.0,720000.0,22400000.0,2145608.1331392378,17654401.640440058,24670.57840798438,0.7881429303767883,0.011498175285106174,715.6055017634443,8.228157494262438,0.08451831817219946,0.9154816818278007,12.232375435430475,
425000.0,765000.0,23800000.0,2780101.3503655717,31018636.534828782,46309.680881333275,1.303304056085243,0.016657551306625475,669.8089026852249,11.157376162113644,0.46989474973596534,0.5301052502640345,11.134786482295942,
450000.0,810000.0,25200000.0,3378960.660968771,43273859.748800755,66035.44540143218,1.7172166566984426,0.01954312347113842,655.3126050068594,12.806855151842413,0.6134890573946843,0.38651094260531565,10.189399979095572,
